z,bind
1.125,-0.06793641000003225
1.175,-0.08528341000000472
1.225,-0.09792941000002264
1.275,-0.10680270999999897
1.325,-0.11265580999999492
1.375,-0.11608571000000956
1.425,-0.11759161000002172
1.475,-0.11756691000001018
1.525,-0.11633891000001262
1.575,-0.11417250999999118
1.625,-0.11127951000001934
1.675,-0.10783730999996755
1.725,-0.10398830999999353
1.775,-0.0998500099999996
1.825,-0.09551871000000978
1.875,-0.09106841000000776
1.925,-0.08655961000001133
1.975,-0.08205080999998648
2.025,-0.07758671000000794
2.075,-0.07320391000003446
