r,ae,uc,g43-lm,tn17-tn17,tn17-lm,stu87-stu87,stu87-lm,bfd-bfd,bfd-lm
1.2,0.0760681231687,0.0796807475854,0.0785696635849,0.0790981868878,0.0762197011048,0.0779550363045,0.0794987595968,0.0931399251019,0.0960324250734
1.3,-0.0807346833299,-0.078271553428,-0.0790975352624,-0.0786378586172,-0.080757925295,-0.0786143876694,-0.0781022298008,-0.0679269294815,-0.0663404923511
1.4,-0.177700880544,-0.176069320733,-0.176691151719,-0.176442697841,-0.177885067887,-0.175362129812,-0.175552348324,-0.168853195568,-0.168277749252
1.5,-0.231310920263,-0.230248712813,-0.230621046164,-0.230684641526,-0.231538865364,-0.228701454518,-0.229302620203,-0.225450870752,-0.225501407963
1.6,-0.254215798029,-0.253570448196,-0.253678249608,-0.254063723193,-0.254440158921,-0.251394816846,-0.252191865323,-0.250435511494,-0.250807449059
1.7,-0.256468424567,-0.256145040718,-0.256013224727,-0.256661237198,-0.256675251175,-0.253542546234,-0.254395774496,-0.254089822502,-0.254587156901
1.8,-0.245643665396,-0.245569241717,-0.245238623594,-0.246045790731,-0.245821959081,-0.242698713248,-0.243531525686,-0.244182423137,-0.244696987052
1.9,-0.2272154333,-0.227319465849,-0.226843235405,-0.227718437928,-0.227348583659,-0.224305707087,-0.225077529181,-0.226330902361,-0.226807155337
2.0,-0.205003616879,-0.205250977854,-0.204670571055,-0.205550068752,-0.205092860334,-0.202167692772,-0.202865098985,-0.204463013432,-0.20488402619
