r,ae,uc,bfd,stu,tn17,gm18,fe13,fegani2b-3
1.1,0.025404131751,0.025663331751,0.028226939106,0.025575339106,0.025449339106,0.024788339106,0.024846839106,0.025356039106
1.2,-0.021422668249,-0.021196168249,-0.018657660894,-0.020779560894,-0.021423960894,-0.021922060894,-0.021656760894,-0.021527760894
1.3,-0.048967868249,-0.048735868249,-0.046178060894,-0.047955160894,-0.048960560894,-0.049330960894,-0.048869960894,-0.049069060894
1.4,-0.063546768249,-0.063276868249,-0.060686460894,-0.062244460894,-0.063502860894,-0.063770760894,-0.063136260894,-0.063610560894
1.5,-0.069413868249,-0.069077168249,-0.066435960894,-0.067881960894,-0.069315360894,-0.069500260894,-0.068716160894,-0.069421560894
1.6,-0.069487168249,-0.069051368249,-0.066331160894,-0.067764060894,-0.069315260894,-0.069432660894,-0.068519260894,-0.069423460894
1.7,-0.065799568249,-0.065234868249,-0.062412460894,-0.063909960894,-0.065538860894,-0.065602160894,-0.064575560894,-0.065652660894
1.8,-0.059785468249,-0.059066268249,-0.056175260894,-0.057750360894,-0.059428160894,-0.059452060894,-0.058327860894,-0.059549260894
1.9,-0.052461468249,-0.051588268249,-0.048749760894,-0.050315660894,-0.052019960894,-0.052019360894,-0.050821160894,-0.052144060894
