z,uc,bfd,stu87,tn17,gani_cc130
1.1,0.046433662656390595,0.051431590000004745,0.048226209999993386,0.046716819999998,0.04674742000000032
1.15,0.013759494811147022,0.018236440000007348,0.015548350000000766,0.013970200000000488,0.014046619999999677
1.2,-0.012801567187075591,-0.008794470000000332,-0.01101736999999281,-0.012653610000003312,-0.012539890000001663
1.25,-0.034239934104512315,-0.030653519999989446,-0.03246548000000138,-0.03414959000000073,-0.03400635000000085
1.3,-0.051383763990038744,-0.04816356999998794,-0.04961716999999288,-0.051339550000011,-0.05117332000000607
1.35,-0.06490959049876466,-0.06201123999999203,-0.06315588999999255,-0.06490918000000312,-0.06472460000000757
1.4,-0.07539319874008042,-0.072773069999999,-0.07365369999999649,-0.07543097000000164,-0.07523181000000767
1.45,-0.08331906769212338,-0.0809356799999984,-0.08159401000000577,-0.08338978000000685,-0.08317861000000683
1.5,-0.08909719049558618,-0.08691553000000118,-0.08738482999999296,-0.08919438000001156,-0.08897315000000339
1.55,-0.09307211494451195,-0.09106217999999677,-0.09137436000000554,-0.09319367000000744,-0.09296394000000652
1.6,-0.09553899634858709,-0.09367441999998738,-0.09385132000000118,-0.09567683000000449,-0.09544081999999554
1.65,-0.09674777219908748,-0.09500031999999925,-0.09506833000000603,-0.09689679000000473,-0.0966530500000028
1.7,-0.09690432154133788,-0.09525814000000088,-0.09523555999999424,-0.09706416000000452,-0.09681451999999757
1.75,-0.09618755033756798,-0.09463154999999068,-0.09453332999999253,-0.09635969000000222,-0.09610451999999958
1.8,-0.0947515235614631,-0.09327376999999848,-0.09311142000000194,-0.09493367000000551,-0.09467956999999905
1.85,-0.09272062214922272,-0.09131907999999334,-0.09111577000000415,-0.09293169000000268,-0.09266646000000611
1.9,-0.09023401388100895,-0.08888048999999631,-0.0886403800000034,-0.0904483300000033,-0.0901762900000046
1.95,-0.08735762857003948,-0.08605636999999666,-0.08578711000000061,-0.08758249000000495,-0.08730794999999836
2.0,-0.08418705853916464,-0.08292314999998729,-0.08263110000000273,-0.08441982000001025,-0.08414193000000358
2.05,-0.0807622227790219,-0.07955853999999596,-0.07925544999999325,-0.08103042000000704,-0.08074682999999773
